%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
404500000000,6092,404467000000,world,-0.0134482107006,-0.0144808060903,1.30006782817,2.50333876189e-15,-3.71617970289e-12,0.000673632240712,0.99999977311
404500000000,6093,404477000000,world,-0.0134482106943,-0.0144808060903,1.30006775231,1.80137669935e-15,-2.67412461572e-12,0.000673632240712,0.99999977311
404500000000,6094,404487000000,world,-0.0134482106879,-0.0144808060903,1.30006767658,9.89302722224e-16,-1.46860957647e-12,0.000673632240712,0.99999977311
404500000000,6095,404497000000,world,-0.0134482106816,-0.0144808060903,1.30006760101,2.7252589249e-16,-4.04562139767e-13,0.000673632240712,0.99999977311
404542000000,6096,404507000000,world,-0.0134482106752,-0.0144808060903,1.30006752557,-5.37956065973e-16,7.98589561251e-13,0.000673632240712,0.99999977311
404542000000,6097,404517000000,world,-0.0134482106689,-0.0144808060903,1.30006745031,-1.23957271198e-15,1.8401318906e-12,0.000673632240712,0.99999977311
404542000000,6098,404527000000,world,-0.0134482106625,-0.0144808060903,1.30006737516,-2.02385184756e-15,3.00438579426e-12,0.000673632240712,0.99999977311
404542000000,6099,404537000000,world,-0.0134482106562,-0.0144808060903,1.30006730018,-2.69040883443e-15,3.99388247732e-12,0.000673632240712,0.99999977311
404589000000,6100,404547000000,world,-0.0134482106498,-0.0144808060902,1.30006722533,-3.43265248519e-15,5.09573516588e-12,0.000673632240712,0.99999977311
404589000000,6101,404557000000,world,-0.0134482106435,-0.0144808060902,1.30006715065,-4.05181053463e-15,6.01486863476e-12,0.000673632240712,0.99999977311
404589000000,6102,404567000000,world,-0.0134482106371,-0.0144808060902,1.30006707609,-4.74266827505e-15,7.04043953033e-12,0.000673632240712,0.99999977311
404589000000,6103,404577000000,world,-0.0134482106307,-0.0144808060902,1.30006700171,-5.28221454236e-15,7.84139020836e-12,0.000673632240712,0.99999977311
404589000000,6104,404587000000,world,-0.0134482106243,-0.0144808060902,1.30006692752,-5.61032419755e-15,8.3284654467e-12,0.000673632240712,0.99999977311
404638000000,6105,404597000000,world,-0.0134482106179,-0.0144808060902,1.30006685346,-6.0376721251e-15,8.9628588e-12,0.000673632240712,0.99999977311
404638000000,6106,404607000000,world,-0.0134482106114,-0.0144808060902,1.30006677956,-6.37299616563e-15,9.46064372551e-12,0.000673632240712,0.99999977311
404638000000,6107,404617000000,world,-0.013448210605,-0.0144808060902,1.30006670579,-6.80896997582e-15,1.01078421174e-11,0.000673632240712,0.99999977311
404638000000,6108,404627000000,world,-0.0134482105985,-0.0144808060902,1.30006663219,-7.14526642909e-15,1.06070705389e-11,0.000673632240712,0.99999977311
404638000000,6109,404637000000,world,-0.013448210592,-0.0144808060902,1.30006655871,-7.5751127239e-15,1.124517269e-11,0.000673632240712,0.99999977311
404681000000,6110,404647000000,world,-0.0134482105855,-0.0144808060902,1.30006648541,-7.89941915113e-15,1.17266020524e-11,0.000673632240712,0.99999977311
404681000000,6111,404657000000,world,-0.0134482105789,-0.0144808060902,1.30006641222,-8.3125498395e-15,1.2339890072e-11,0.000673632240712,0.99999977311
404682000000,6112,404667000000,world,-0.0134482105724,-0.0144808060901,1.30006633921,-8.61640007963e-15,1.27909524508e-11,0.000673632240712,0.99999977311
404682000000,6113,404677000000,world,-0.0134482105658,-0.0144808060901,1.30006626632,-9.00617962114e-15,1.33695759499e-11,0.000673632240712,0.99999977311
404687000000,6114,404687000000,world,-0.0134482105592,-0.0144808060901,1.3000661936,-9.28450648734e-15,1.37827491585e-11,0.000673632240712,0.99999977311
404697000000,6115,404697000000,world,-0.0134482105525,-0.0144808060901,1.300066121,-9.64720533701e-15,1.43211716422e-11,0.000673632240712,0.99999977311
404738000000,6116,404707000000,world,-0.0134482105459,-0.0144808060901,1.30006604858,-9.89741470442e-15,1.46926046636e-11,0.000673632240712,0.99999977311
404738000000,6117,404717000000,world,-0.0134482105392,-0.0144808060901,1.30006597627,-1.02568059724e-14,1.52261170302e-11,0.000673632240712,0.99999977311
404738000000,6118,404727000000,world,-0.0134482105325,-0.0144808060901,1.30006590405,-1.07847832619e-14,1.60098935272e-11,0.000673632240712,0.99999977311
404738000000,6119,404737000000,world,-0.0134482105257,-0.0144808060901,1.30006583201,-1.11704666038e-14,1.65824361494e-11,0.000673632240712,0.99999977311
404782000000,6120,404747000000,world,-0.0134482105189,-0.0144808060901,1.3000657601,-1.16053398307e-14,1.72280006189e-11,0.000673632240712,0.99999977311
404782000000,6121,404757000000,world,-0.0134482105121,-0.0144808060901,1.30006568835,-1.18973005358e-14,1.76614130149e-11,0.000673632240712,0.99999977311
404782000000,6122,404767000000,world,-0.0134482105052,-0.0144808060901,1.30006561672,-1.22475296577e-14,1.81813242817e-11,0.000673632240712,0.99999977311
404782000000,6123,404777000000,world,-0.0134482104983,-0.01448080609,1.30006554527,-1.24638788656e-14,1.85024922841e-11,0.000673632240712,0.99999977311
404825000000,6124,404787000000,world,-0.0134482104914,-0.01448080609,1.30006547394,-1.27466922344e-14,1.89223256243e-11,0.000673632240712,0.99999977311
404825000000,6125,404797000000,world,-0.0134482104844,-0.01448080609,1.30006540278,-1.29029931747e-14,1.91543526411e-11,0.000673632240712,0.99999977311
404825000000,6126,404807000000,world,-0.0134482104774,-0.01448080609,1.30006533174,-1.31323709968e-14,1.94948615054e-11,0.000673632240712,0.99999977311
