%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
12094549000000,17252,12094523000000,world,-0.0128838475824,-0.00489204825098,1.30001458136,-1.01847819391e-14,-5.69850768888e-12,-0.00178726874798,0.999998402834
12094549000000,17253,12094533000000,world,-0.0128838475824,-0.00489204825098,1.30001458132,-5.74289454922e-15,-3.21321818105e-12,-0.00178726874798,0.999998402834
12094549000000,17254,12094543000000,world,-0.0128838475825,-0.00489204825098,1.30001458134,-2.43619724772e-15,-1.36308117992e-12,-0.00178726874798,0.999998402834
12094553000000,17255,12094553000000,world,-0.0128838475825,-0.00489204825098,1.30001458138,1.46035328428e-16,8.17090665901e-14,-0.00178726874798,0.999998402834
12094563000000,17256,12094563000000,world,-0.0128838475826,-0.00489204825098,1.3000145814,2.53439013027e-15,1.41802234667e-12,-0.00178726874798,0.999998402834
12094601000000,17257,12094573000000,world,-0.0128838475827,-0.00489204825098,1.3000145814,4.77985501716e-15,2.67438702393e-12,-0.00178726874798,0.999998402834
12094601000000,17258,12094583000000,world,-0.0128838475827,-0.00489204825098,1.30001458139,6.89074129675e-15,3.855453364e-12,-0.00178726874798,0.999998402834
12094601000000,17259,12094593000000,world,-0.0128838475828,-0.00489204825098,1.30001458135,8.87195961203e-15,4.96396891315e-12,-0.00178726874798,0.999998402834
12094642000000,17260,12094603000000,world,-0.0128838475829,-0.00489204825098,1.30001458131,1.07172102111e-14,5.99640888271e-12,-0.00178726874798,0.999998402834
12094642000000,17261,12094613000000,world,-0.0128838475829,-0.00489204825098,1.30001458131,1.17361248796e-14,6.56650391188e-12,-0.00178726874798,0.999998402834
12094642000000,17262,12094623000000,world,-0.012883847583,-0.00489204825098,1.30001458134,1.23057149894e-14,6.88519641934e-12,-0.00178726874798,0.999998402834
12094642000000,17263,12094633000000,world,-0.012883847583,-0.00489204825098,1.30001458135,1.29262765747e-14,7.23240808321e-12,-0.00178726874798,0.999998402834
12094680000000,17264,12094643000000,world,-0.012883847583,-0.00489204825098,1.30001458135,1.3621627907e-14,7.62146551468e-12,-0.00178726874798,0.999998402834
12094680000000,17265,12094653000000,world,-0.0128838475831,-0.00489204825098,1.30001458132,1.43757300985e-14,8.04339476244e-12,-0.00178726874798,0.999998402834
12094680000000,17266,12094663000000,world,-0.012883847583,-0.00489204825098,1.30001458128,1.51604510029e-14,8.48245555183e-12,-0.00178726874798,0.999998402834
12094680000000,17267,12094673000000,world,-0.012883847583,-0.00489204825098,1.3000145813,1.52656723729e-14,8.54132819056e-12,-0.00178726874798,0.999998402834
12094720000000,17268,12094683000000,world,-0.012883847583,-0.00489204825098,1.30001458133,1.50507854435e-14,8.42109636761e-12,-0.00178726874798,0.999998402834
12094721000000,17269,12094693000000,world,-0.012883847583,-0.00489204825098,1.30001458135,1.50004010168e-14,8.3929056617e-12,-0.00178726874798,0.999998402834
12094721000000,17270,12094703000000,world,-0.0128838475829,-0.00489204825098,1.30001458135,1.51243898351e-14,8.4622789141e-12,-0.00178726874798,0.999998402834
12094721000000,17271,12094713000000,world,-0.0128838475828,-0.00489204825098,1.30001458134,1.53943233647e-14,8.61331000643e-12,-0.00178726874798,0.999998402834
12094765000000,17272,12094723000000,world,-0.0128838475827,-0.00489204825098,1.3000145813,1.57710750951e-14,8.82410716688e-12,-0.00178726874798,0.999998402834
12094765000000,17273,12094733000000,world,-0.0128838475826,-0.00489204825098,1.30001458132,1.55347813037e-14,8.69189796606e-12,-0.00178726874798,0.999998402834
12094765000000,17274,12094743000000,world,-0.0128838475825,-0.00489204825098,1.30001458137,1.48558769795e-14,8.3120428095e-12,-0.00178726874798,0.999998402834
12094765000000,17275,12094753000000,world,-0.0128838475825,-0.00489204825098,1.30001458139,3.21996459711e-15,1.80160961119e-12,-0.00178726874798,0.999998402834
12094765000000,17276,12094763000000,world,-0.0128838475825,-0.00489204825098,1.3000145814,-2.95344820116e-15,-1.65248922635e-12,-0.00178726874798,0.999998402834
12094801000000,17277,12094773000000,world,-0.0128838475825,-0.00489204825098,1.30001458139,-1.24288903979e-14,-6.95411330671e-12,-0.00178726874798,0.999998402834
12094801000000,17278,12094783000000,world,-0.0128838475824,-0.00489204825098,1.30001458137,-1.6092628574e-14,-9.00401897913e-12,-0.00178726874798,0.999998402834
12094801000000,17279,12094793000000,world,-0.0128838475825,-0.00489204825098,1.30001458133,-2.33402206089e-14,-1.30591340903e-11,-0.00178726874798,0.999998402834
12094803000000,17280,12094803000000,world,-0.0128838475824,-0.00489204825098,1.30001458134,-2.57743322204e-14,-1.44210488954e-11,-0.00178726874798,0.999998402834
12094813000000,17281,12094813000000,world,-0.0128838475825,-0.00489204825098,1.30001458137,-3.23782099392e-14,-1.81159980839e-11,-0.00178726874798,0.999998402834
12094842000000,17282,12094823000000,world,-0.0128838475825,-0.00489204825098,1.30001458139,-3.33532341397e-14,-1.86615358929e-11,-0.00178726874798,0.999998402834
12094842000000,17283,12094833000000,world,-0.0128838475824,-0.00489204825098,1.30001458139,-2.70169659693e-14,-1.51163175094e-11,-0.00178726874798,0.999998402834
12094880000000,17284,12094843000000,world,-0.0128838475823,-0.00489204825098,1.30001458137,-2.06591963563e-14,-1.15590688073e-11,-0.00178726874798,0.999998402834
12094880000000,17285,12094853000000,world,-0.0128838475823,-0.00489204825098,1.30001458134,-1.48886485074e-14,-8.33037775689e-12,-0.00178726874798,0.999998402834
