%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
11982523000000,6070,11982491000000,world,-0.0132553238014,-0.0193616833397,1.30223339475,-1.43718815015e-12,2.64081535076e-10,0.00544212364241,0.999985191535
11982523000000,6071,11982501000000,world,-0.0132553238331,-0.0193616833401,1.30223303463,-1.4403962364e-12,2.64671021838e-10,0.00544212364241,0.999985191535
11982523000000,6072,11982511000000,world,-0.0132553238643,-0.0193616833404,1.30223267526,-1.44481220887e-12,2.65482456552e-10,0.00544212364241,0.999985191535
11982523000000,6073,11982521000000,world,-0.0132553238949,-0.0193616833407,1.30223231663,-1.45018284994e-12,2.66469310688e-10,0.00544212364241,0.999985191535
11982561000000,6074,11982531000000,world,-0.0132553239251,-0.0193616833411,1.30223195875,-1.45629096547e-12,2.6759167504e-10,0.00544212364241,0.999985191535
11982561000000,6075,11982541000000,world,-0.0132553239548,-0.0193616833414,1.30223160162,-1.44757657928e-12,2.65990418357e-10,0.00544212364241,0.999985191535
11982561000000,6076,11982551000000,world,-0.0132553239841,-0.0193616833417,1.30223124524,-1.40210294274e-12,2.57634683378e-10,0.00544212364241,0.999985191535
11982561000000,6077,11982561000000,world,-0.013255324013,-0.019361683342,1.3022308896,-1.35898313711e-12,2.4971146265e-10,0.00544212364241,0.999985191535
11982602000000,6078,11982571000000,world,-0.0132553240413,-0.0193616833423,1.3022305347,-1.32266767502e-12,2.43038533698e-10,0.00544212364241,0.999985191535
11982602000000,6079,11982581000000,world,-0.0132553240691,-0.0193616833426,1.30223018056,-1.29268891915e-12,2.37529968585e-10,0.00544212364241,0.999985191535
11982603000000,6080,11982591000000,world,-0.0132553240965,-0.0193616833429,1.30222982716,-1.26823703319e-12,2.33036960668e-10,0.00544212364241,0.999985191535
11982603000000,6081,11982601000000,world,-0.0132553241233,-0.0193616833432,1.30222947451,-1.24856182243e-12,2.29421662386e-10,0.00544212364241,0.999985191535
11982640000000,6082,11982611000000,world,-0.0132553241497,-0.0193616833435,1.3022291226,-1.23299915338e-12,2.26562039838e-10,0.00544212364241,0.999985191535
11982640000000,6083,11982621000000,world,-0.0132553241756,-0.0193616833438,1.30222877145,-1.22096451114e-12,2.24350688898e-10,0.00544212364241,0.999985191535
11982640000000,6084,11982631000000,world,-0.013255324201,-0.0193616833441,1.30222842104,-1.21194449652e-12,2.22693272961e-10,0.00544212364241,0.999985191535
11982641000000,6085,11982641000000,world,-0.013255324226,-0.0193616833443,1.30222807137,-1.20548895695e-12,2.21507076898e-10,0.00544212364241,0.999985191535
11982651000000,6086,11982651000000,world,-0.0132553242506,-0.0193616833446,1.30222772246,-1.20120391119e-12,2.20719707045e-10,0.00544212364241,0.999985191535
11982688000000,6087,11982661000000,world,-0.0132553242747,-0.0193616833449,1.30222737429,-1.19874521159e-12,2.20267926584e-10,0.00544212364241,0.999985191535
11982688000000,6088,11982671000000,world,-0.0132553242983,-0.0193616833451,1.30222702686,-1.19781287212e-12,2.20096613387e-10,0.00544212364241,0.999985191535
11982688000000,6089,11982681000000,world,-0.0132553243216,-0.0193616833454,1.30222668019,-1.19814599726e-12,2.20157828101e-10,0.00544212364241,0.999985191535
11982723000000,6090,11982691000000,world,-0.0132553243444,-0.0193616833456,1.30222633426,-1.19951825012e-12,2.20409981569e-10,0.00544212364241,0.999985191535
11982723000000,6091,11982701000000,world,-0.0132553243667,-0.0193616833459,1.30222598907,-1.20173380798e-12,2.20817091518e-10,0.00544212364241,0.999985191535
11982723000000,6092,11982711000000,world,-0.0132553243887,-0.0193616833461,1.30222564464,-1.18924933418e-12,2.18523084215e-10,0.00544212364241,0.999985191535
11982723000000,6093,11982721000000,world,-0.0132553244105,-0.0193616833464,1.30222530095,-1.14014067231e-12,2.09499416194e-10,0.00544212364241,0.999985191535
11982757000000,6094,11982731000000,world,-0.0132553244319,-0.0193616833466,1.30222495801,-1.09353004845e-12,2.00934760325e-10,0.00544212364241,0.999985191535
11982757000000,6095,11982741000000,world,-0.0132553244528,-0.0193616833468,1.30222461581,-1.05387419725e-12,1.93648037522e-10,0.00544212364241,0.999985191535
11982757000000,6096,11982751000000,world,-0.0132553244733,-0.019361683347,1.30222427436,-1.02070924134e-12,1.87554010714e-10,0.00544212364241,0.999985191535
11982761000000,6097,11982761000000,world,-0.0132553244934,-0.0193616833473,1.30222393366,-9.93227041929e-13,1.82504185138e-10,0.00544212364241,0.999985191535
11982771000000,6098,11982771000000,world,-0.0132553245131,-0.0193616833475,1.30222359371,-9.70677388098e-13,1.78360710209e-10,0.00544212364241,0.999985191535
11982810000000,6099,11982781000000,world,-0.0132553245325,-0.0193616833477,1.3022232545,-9.52394718873e-13,1.75001289689e-10,0.00544212364241,0.999985191535
11982810000000,6100,11982791000000,world,-0.0132553245514,-0.0193616833479,1.30222291604,-9.37791941912e-13,1.72318045924e-10,0.00544212364241,0.999985191535
11982810000000,6101,11982801000000,world,-0.0132553245701,-0.0193616833481,1.30222257833,-9.26352157746e-13,1.70215999196e-10,0.00544212364241,0.999985191535
11982840000000,6102,11982811000000,world,-0.0132553245884,-0.0193616833483,1.30222224136,-9.1762098546e-13,1.68611657409e-10,0.00544212364241,0.999985191535
11982840000000,6103,11982821000000,world,-0.0132553246063,-0.0193616833485,1.30222190514,-9.11199654341e-13,1.67431746751e-10,0.00544212364241,0.999985191535
